0,10
1,5
2,20
3,10
4,15
5,21
6,7
7,11
8,21
9,12
10,6
11,21
12,10
13,16
14,13
15,14
16,9
17,26
18,11
19,14
20,14
21,19
22,13
23,9
24,10
25,17
26,6
27,9
28,13
29,15
30,27
31,18
32,16
33,15
34,26
35,10
36,9
37,14
38,15
39,27
40,7
41,15
42,11
43,7
44,14
45,19
46,19
47,18
48,9
49,12
50,15
51,15
52,11
53,13
54,6
55,13
56,15
57,12
58,16
59,14
60,10
61,13
62,14
63,6
64,15
65,13
66,16
67,8
68,19
69,14
70,24
71,15
72,15
73,8
74,16
75,20
76,19
77,11
78,11
79,8
80,11
81,11
82,13
83,6
84,7
85,15
86,6
87,9
88,15
89,13
90,14
91,15
92,17
93,15
94,20
95,17
96,23
97,13
98,19
99,36
100,28
101,16
102,22
103,25
104,17
105,14
106,10
107,18
108,16
109,16
110,17
111,16
112,29
113,10
114,17
115,25
116,22
117,16
118,26
119,10
120,11
121,20
122,14
123,13
124,25
125,15
126,11
127,19
128,13
129,12
130,13
131,11
132,18
133,13
134,27
135,22
136,16
137,16
138,11
139,18
140,22
141,11
142,13
143,17
144,15
145,15
146,8
147,13
148,11
149,25
150,13
151,33
152,13
153,21
154,13
155,17
156,16
157,15
158,14
159,15
160,26
161,14
162,7
163,5
164,11
165,17
166,17
167,10
168,18
169,12
170,24
171,14
172,22
173,20
174,10
175,14
176,6
177,12
178,12
179,24
180,21
181,16
182,14
183,19
184,17
185,19
186,18
187,14
188,11
189,33
190,14
191,14
192,16
193,15
194,26
195,17
196,19
197,13
198,32
199,9
200,15
201,21
202,16
203,20
204,19
205,10
206,20
207,21
208,18
209,20
210,17
211,24
212,15
213,21
214,24
215,30
216,21
217,20
218,14
219,14
220,23
221,14
222,31
223,22
224,13
225,35
226,21
227,26
228,17
229,25
230,43
231,27
232,22
233,22
234,19
235,34
236,14
237,28
238,29
239,24
240,22
241,12
242,21
243,15
244,21
245,14
246,13
247,16
248,18
249,18
250,16
251,12
252,23
253,20
254,22
255,24
256,20
257,27
258,28
259,18
260,21
261,33
262,19
263,21
264,20
265,20
266,21
267,31
268,26
269,17
270,18
271,19
272,13
273,20
274,11
275,21
276,17
277,16
278,26
279,17
280,10
281,9
282,17
283,12
284,18
285,14
286,18
287,9
